14606003,1186,1,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104000,1215,1,840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104002,1187,3,880,373,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9306784,1201,2,790,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011958,1214,3,800,706,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145239,1199,4,0,0,0,0,53,55,50,63,45,33,69,32,54,42,80,57,64,30,22,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14067156,1214,1,231,231,107,15,0,0,0,0,0,0,0,0,0,0,0,923,0,0,10639,8810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5123536,1199,2,471,357,735,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18300911,1184,1,261,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12126362,1185,1,240,200,240,140,170,500,531,16791,19486,16535,16929,11998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9306810,1185,1,400,1246,6884,7655,6181,14407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18407771,1185,1,80,40,230,150,0,0,0,0,140,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15383738,1185,3,200,170,0,791,841,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18300943,1228,24,0,0,0,0,0,1407,7148,1526,3495,15069,1181,1340,1380,3515,17174,16297,1410,1359,1333,859,570,1333,614,1417,1021,774,656,1336,573,410,554,1337,362,401,1336,475,968,479,1127,1240,1500,1311,1460,1550,1140,114,1490,1030,1500,1320
18407740,1243,3,252,1045,1140,877,1270,1121,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18300994,1215,1,40,0,499,0,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15358747,1230,2,1160,1180,1060,1410,1230,1290,1330,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650236,1254,4,1020,1060,1320,1300,1530,1320,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18407700,1229,2,0,0,0,15468,1036,1280,1290,1250,1230,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011936,1201,2,810,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011929,1233,2,0,908,1100,216,1333,1423,304,1334,180,180,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14488206,1215,3,1400,1120,696,720,205,73,127,11617,13063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104112,1172,6,0,0,0,0,590,706,840,428,539,549,618,579,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104114,1198,2,15010,5767,14557,10222,8918,0,0,986,12301,11483,13203,22,117,149,240,0,0,0,168,139,65,62,0,0,0,142,239,150,80,40,,,,,,,,,,,,,,,,,,,,
18143724,1185,1,11013,1966,6617,430,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18143729,1185,1,421,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
